floor,slab_area,beam_length,column_count,wall_area,floor_type,cycle_days
1,2200,520,60,900,Podium,4
2,2150,510,58,880,Podium,4
3,2180,515,59,890,Podium,4
4,1500,400,36,600,Typical,3
5,1495,395,36,590,Typical,3
6,1510,402,37,605,Typical,3
7,1502,398,36,598,Typical,3
8,1498,397,36,600,Typical,3
9,1505,401,36,602,Typical,3
10,1499,399,36,595,Typical,3
11,1503,400,36,600,Typical,3
12,1501,398,36,598,Typical,3
13,1497,396,36,590,Typical,3
14,1504,402,36,605,Typical,3
15,1500,400,36,600,Typical,3
16,1502,401,36,602,Typical,3
17,1496,395,36,590,Typical,3
18,1503,399,36,598,Typical,3
19,1501,400,36,600,Typical,3
20,1504,402,36,605,Typical,3
21,1498,397,36,595,Typical,3
22,1500,400,36,600,Typical,3
23,1502,401,36,602,Typical,3
24,1499,398,36,598,Typical,3
25,1503,399,36,600,Typical,3
26,1400,370,30,550,Upper_Modified,3
27,1395,365,30,540,Upper_Modified,3
28,1402,372,31,552,Upper_Modified,3
29,1398,368,30,545,Upper_Modified,3
30,900,250,18,300,Terrace,2